attempt,stop_addr,stop_fn,delay,target,bitflip,code,seed
112,0x0800d0bc,prvCheckTasksWaitingTermination_dup,0.955,0x200018ac,64,1,3735928559
113,0x08002666,xTaskIncrementTick,0.476,0x2000c597,16,0,3735928559
114,0x080030e6,prvIdleTask,0.585,0x200073fe,1,0,3735928559
115,0x0800857e,prvAddCurrentTaskToDelayedList_dup,0.684,0x2000674d,64,0,3735928559
116,0x08000286,pvPortMalloc,0.108,0x20000334,8,1,3735928559
117,0x08012b90,crc32buf_ret_dup,0.608,0x200012d2,128,1,3735928559
118,0x08003d46,xQueueReceive_ret_dup,0.909,0x200034e8,128,0,3735928559
119,0x080030a6,prvIdleTask,0.313,0x2000abe7,8,0,3735928559
120,0x08002fb4,vBackupRestoreCallVoidFunction,0.108,0x20009705,2,0,3735928559
121,0x08012a78,crc32buf_ret_dup,0.847,0x20008e56,2,0,3735928559
122,0x08012a9e,crc32buf_ret_dup,0.73,0x2000c089,4,0,3735928559
123,memset,"<ucHeap+8>,",0.046,0x2000b21e,64,0,3735928559
124,0x0800309e,prvIdleTask,0.806,0x200051ac,16,0,3735928559
125,memset,"<ucHeap+18832>,",0.141,0x200091a5,32,0,3735928559
126,0x0800f708,prvInitialiseNewTask_dup,0.124,0x200025d2,64,1,3735928559
127,0x08006ede,xTaskResumeAll_ret_dup,0.916,0x2000cf6d,16,0,3735928559
128,0x08002932,vTaskSwitchContext,0.822,0x200059d0,128,0,3735928559
129,0x0800d236,prvCheckTasksWaitingTermination_dup,0.693,0x20001f64,1,1,3735928559
130,0x080001b6,memset,0.081,0x2000a840,128,0,3735928559
131,0x080001b6,memset,0.111,0x2000277c,2,1,3735928559
132,memset,"<xStack>,",0.226,0x2000d26a,16,0,3735928559
133,0x0800306a,xBackupRestoreCallVoidFunction,0.037,0x200072ac,16,0,3735928559
134,0x080030b0,prvIdleTask,0.322,0x2000b366,2,0,3735928559
135,memset,"<xStack>,",0.987,0x20009294,4,0,3735928559
136,0x080005b4,vPortFree,0.413,0x2000adeb,64,0,3735928559
137,0x08015a0e,vTimerSetReloadMode_dup,0.28,0x2000b1cd,64,0,3735928559
138,0x0800308a,prvIdleTask,0.632,0x20009348,32,0,3735928559
139,0x0800d398,prvInitialiseTaskLists_dup,0.052,0x2000c784,1,0,3735928559
140,0x0800b9ac,prvCopyDataToQueue_ret_dup,0.955,0x20006cf2,1,0,3735928559
141,0x08012ab8,crc32buf_ret_dup,0.979,0x2000c671,16,0,3735928559
142,0x0800a8d4,xQueueGenericSend_ret_dup,0.172,0x2000c326,32,-1,3735928559
143,0x0801da9c,vPortEnterCritical,0.19,0x2000648f,16,0,3735928559
144,0x0801f43a,Reset_Handler,0.013,0x200064bc,16,0,3735928559
145,0x08012a78,crc32buf_ret_dup,0.367,0x20001732,4,1,3735928559
146,0x080153e0,xTimerGenericCommand_ret_dup,0.315,0x2000d1dd,1,0,3735928559
147,0x0801bbba,vTaskPrioritySet_dup,0.711,0x20005998,64,0,3735928559
148,memset,"<ucHeap+8304>,",0.08,0x2000580a,32,0,3735928559
149,0x0801131c,Multiply_dup,0.574,0x20000eef,64,1,3735928559
150,0x08002f9c,vRestoreSig,0.464,0x20005bec,16,1,3735928559
151,0x0800d0d8,prvCheckTasksWaitingTermination_dup,0.238,0x2000d912,4,0,3735928559
152,0x08002a7a,vTaskSwitchContext,0.594,0x200089ad,4,0,3735928559
153,0x0800d096,prvCheckTasksWaitingTermination_dup,0.313,0x200041c7,64,0,3735928559
154,0x0800d09e,prvCheckTasksWaitingTermination_dup,0.395,0x20004ebd,2,0,3735928559
155,0x0800d230,prvCheckTasksWaitingTermination_dup,0.656,0x20008674,32,0,3735928559
156,0x08002272,xTaskIncrementTick,0.825,0x2000b38f,32,0,3735928559
157,0x080001bc,memset,0.06,0x20002920,32,0,3735928559
158,0x0800449a,prvInsertTimerInActiveList_ret_dup,0.458,0x200004bf,128,1,3735928559
159,0x08002c28,vTaskSwitchContext,0.917,0x2000b453,2,0,3735928559
160,0x0801131e,Multiply_dup,0.689,0x20001b27,2,1,3735928559
161,0x0801123a,Multiply_dup,0.689,0x2000d642,16,0,3735928559
162,0x0800308c,prvIdleTask,0.59,0x20006f84,1,0,3735928559
163,0x080047de,vListInsert_dup,0.916,0x2000d1a3,64,-1,3735928559
164,0x080023fe,xTaskIncrementTick,0.911,0x20001959,1,1,3735928559
165,memset,"<ucHeap+5272>,",0.074,0x2000d319,4,0,3735928559
166,0x0800309c,prvIdleTask,0.811,0x20009993,128,0,3735928559
167,0x0800f47a,prvInitialiseNewTask_dup,0.947,0x2000b592,4,0,3735928559
168,0x080001bc,memset,0.041,0x200006d9,32,1,3735928559
169,memset,"<ucHeap+8>,",0.046,0x20004f01,2,0,3735928559
170,0x08000272,pvPortMalloc,0.829,0x2000cf83,1,0,3735928559
171,0x0800118a,xTaskResumeAll,0.165,0x2000370a,2,0,3735928559
172,0x08011eb8,vTaskBufferTestSend,0.619,0x20003028,2,0,3735928559
173,0x0800d088,prvCheckTasksWaitingTermination_dup,0.222,0x200068ef,64,0,3735928559
174,0x08003100,prvIdleTask,0.703,0x20004d14,8,0,3735928559
175,memset,"<xStack>,",0.538,0x20007079,16,0,3735928559
176,0x0800d2d4,prvInitialiseTaskLists_dup,0.05,0x2000b644,128,0,3735928559
177,memset,"<xStack>,",0.382,0x20003f91,64,0,3735928559
178,0x080030a6,prvIdleTask,0.955,0x20000aed,1,1,3735928559
179,0x0800314c,prvIdleTask,0.328,0x2000b7c7,4,0,3735928559
180,0x0801da84,vPortEnterCritical,0.863,0x20007ac1,32,0,3735928559
181,0x080030a2,prvIdleTask,0.164,0x2000d57b,8,0,3735928559
182,0x08012a62,crc32buf_ret_dup,0.492,0x200043e6,32,0,3735928559
183,0x0800d0b2,prvCheckTasksWaitingTermination_dup,0.588,0x20002471,2,1,3735928559
184,0x080003da,pvPortMalloc,0.25,0x2000cdd6,4,0,3735928559
185,0x08002a94,vTaskSwitchContext,0.622,0x20003afe,2,0,3735928559
186,0x0800917c,prvProcessReceivedCommands_dup,0.691,0x200056c5,32,0,3735928559
187,0x08012b40,crc32buf_ret_dup,0.371,0x2000ba63,32,0,3735928559
188,0x08012a6a,crc32buf_ret_dup,0.364,0x20009837,4,0,3735928559
189,0x0800ce9a,prvDeleteTCB_dup,0.68,0x20006e70,8,0,3735928559
190,0x080047d0,vListInsert_dup,0.719,0x200095f6,128,0,3735928559
191,memset,"<xStack>,",0.201,0x20009e4f,1,0,3735928559
192,0x080047e8,vListInsert_dup,0.861,0x20007566,1,0,3735928559
193,0x080030c8,prvIdleTask,0.837,0x20001448,32,1,3735928559
194,memset,"<xStack>,",0.211,0x2000c284,128,0,3735928559
195,0x08012b54,crc32buf_ret_dup,0.97,0x20005311,1,0,3735928559
196,0x0801db3a,vPortExitCritical,0.205,0x20002e0f,4,0,3735928559
197,0x0800313c,prvIdleTask,0.461,0x20002902,32,0,3735928559
