attempt,stop_addr,stop_fn,delay,target,bitflip,code
302,0x0800dcec,prvCheckTasksWaitingTermination,0.0626,0x20000cfe,64,0
303,0x0800dc56,prvIdleTask,0.062,0x20002163,2,0
304,0x0800db62,prvTaskIsTaskSuspended,0.0664,0x20000d0d,2,0
305,0x0800dc76,prvIdleTask,0.0634,0x20002d96,16,0
306,0x0800db78,prvIdleTask,0.065,0x200003f6,1,0
307,0x0800dcb4,prvCheckTasksWaitingTermination,0.0642,0x20004ec0,8,0
308,0x0800dea2,prvCheckTasksWaitingTermination,0.0632,0x20002fb3,1,0
309,0x0800dc1e,prvIdleTask,0.0646,0x20006486,1,0
310,0x0800dbfc,prvIdleTask,0.072,0x20002393,64,0
311,0x0800db92,prvIdleTask,0.064,0x20001cf7,4,0
312,0x0800db84,prvIdleTask,0.0662,0x200017c6,4,0
313,0x0800dc84,prvIdleTask,0.0636,0x20003241,64,0
314,0x0800dc1e,prvIdleTask,0.0694,0x200036ed,8,0
315,0x08012de0,prvCopyDataFromQueue,0.071,0x200013e6,8,0
316,0x080033cc,vListInsert,0.0714,0x200035e0,16,0
317,0x0800dc56,prvIdleTask,0.072,0x200041af,8,0
318,0x0800db62,prvTaskIsTaskSuspended,0.0636,0x20004df7,4,0
319,0x0800dce8,prvCheckTasksWaitingTermination,0.0668,0x20002f78,1,0
320,0x0800dcac,prvCheckTasksWaitingTermination,0.07,0x20001b89,128,0
321,0x0800dc06,prvIdleTask,0.0688,0x20003dfb,4,0
322,0x0800db36,prvTaskIsTaskSuspended,0.0692,0x20000332,128,0
323,0x0800dc96,prvIdleTask,0.0736,0x2000177d,128,0
324,0x0800dc9c,prvIdleTask,0.0668,0x20002855,128,0
325,0x0800dbfc,prvIdleTask,0.0676,0x20004a26,16,0
326,0x080019e4,vPortEnterCritical,0.0714,0x20001dbc,4,0
327,0x0800deb0,prvCheckTasksWaitingTermination,0.0654,0x200042a2,32,0
328,0x0800dc98,prvIdleTask,0.074,0x20003dd3,64,0
329,0x0800db7c,prvIdleTask,0.066,0x20001a1d,64,0
330,0x080117e6,prvCopyDataToQueue,0.0708,0x20002fc5,128,0
331,0x0800e8a2,prvAddCurrentTaskToDelayedList,0.0714,0x20002ca6,2,0
332,0x0800dc8e,prvIdleTask,0.0678,0x200041ea,32,0
333,0x0800de84,prvCheckTasksWaitingTermination,0.0696,0x200003e5,2,0
334,0x0800dce2,prvCheckTasksWaitingTermination,0.0676,0x2000633e,32,0
335,0x0801067a,xQueueGenericSend,0.0706,0x20005977,2,0
336,0x0800dccc,prvCheckTasksWaitingTermination,0.0726,0x20001d84,16,0
337,0x0800dce0,prvCheckTasksWaitingTermination,0.073,0x2000137c,4,0
338,0x0800dc1e,prvIdleTask,0.069,0x20001a3c,128,0
339,0x0800dc84,prvIdleTask,0.07,0x20003f08,128,0
340,0x0800dcee,prvCheckTasksWaitingTermination,0.072,0x2000620b,16,0
341,0x0800dc1e,prvIdleTask,0.0714,0x20003540,128,0
342,0x0800db3a,prvTaskIsTaskSuspended,0.073,0x2000129b,16,0
343,0x0800dc54,prvIdleTask,0.07,0x2000595b,1,0
344,0x08002670,vTaskQueueTest3,0.0712,0x2000599b,64,0
345,0x0800dc06,prvIdleTask,0.075,0x20004d38,32,0
346,0x0800db5e,prvTaskIsTaskSuspended,0.0764,0x20004526,16,0
347,0x0800dbfe,prvIdleTask,0.0724,0x20006242,32,0
348,0x0800dc98,prvIdleTask,0.0732,0x20005cbe,64,0
349,0x0800dc80,prvIdleTask,0.0704,0x20003d40,4,0
350,0x0800dbb2,prvIdleTask,0.0744,0x20002f70,2,0
351,0x0800dcdc,prvCheckTasksWaitingTermination,0.0774,0x2000234c,32,0
352,0x0800dc14,prvIdleTask,0.0748,0x20004175,1,0
353,0x0800dcee,prvCheckTasksWaitingTermination,0.0734,0x20000767,128,0
354,0x0800de8c,prvCheckTasksWaitingTermination,0.0754,0x20003656,128,0
355,0x0800de84,prvCheckTasksWaitingTermination,0.0766,0x2000047e,32,0
356,0x0800dc7c,prvIdleTask,0.0772,0x2000292c,8,0
357,0x0800db90,prvIdleTask,0.0798,0x2000489d,16,0
358,0x0800dcb4,prvCheckTasksWaitingTermination,0.0752,0x200010b1,64,0
359,0x0800db36,prvTaskIsTaskSuspended,0.0778,0x200018b2,64,0
360,0x0800db6a,prvIdleTask,0.0736,0x20001157,32,0
361,0x0800db4a,prvTaskIsTaskSuspended,0.0788,0x2000297b,32,0
362,0x0800dcbe,prvCheckTasksWaitingTermination,0.074,0x20001f0d,64,-1
363,0x0800dc52,prvIdleTask,0.0822,0x200031c8,64,0
364,0x0800de98,prvCheckTasksWaitingTermination,0.0806,0x20005294,128,0
365,0x0800dbfc,prvIdleTask,0.0756,0x20003a78,8,0
366,0x0800dbb2,prvIdleTask,0.077,0x20000d07,1,0
367,0x0800dcd4,prvCheckTasksWaitingTermination,0.0824,0x200000eb,128,0
368,0x0800dba0,prvIdleTask,0.0802,0x200010a4,32,0
369,0x0800dc12,prvIdleTask,0.0832,0x20003cd5,4,0
370,0x0800de84,prvCheckTasksWaitingTermination,0.079,0x20003e73,128,0
371,0x0800dc9c,prvIdleTask,0.082,0x20003be0,32,0
372,0x0800dc0a,prvIdleTask,0.0838,0x20002db3,2,0
373,0x0800db40,prvTaskIsTaskSuspended,0.0828,0x200051ca,2,0
374,0x0800dcd4,prvCheckTasksWaitingTermination,0.0838,0x2000536c,16,0
375,0x0800dc58,prvIdleTask,0.079,0x200038f7,16,0
376,0x0800dc7c,prvIdleTask,0.0808,0x200031ff,4,0
377,0x0800dcd0,prvCheckTasksWaitingTermination,0.0758,0x20002faf,4,0
378,0x0800dba0,prvIdleTask,0.0846,0x20002890,4,0
